Object ID,Name,place type,Analysis,Information,Entity type,Pleiades,[Location] Long,[Location] Lat,In - Object ID,In - Name,Pleiades,In - [Location] Geometry,Near - Object ID,Near - Name,Pleiades,Near - [Location] Geometry,Alt. name for - Object ID,Name,Pleiades,Alt. name for - [Location] Geometry
11066680,🏛️ the Cave of Amphion and Zethos (Eleutherai),cave,2,,Landmark,,23.375621588248,38.179444556306,9613044,🌍 Eleutherai (Attica/Boiotia) city on Boiotia - Attica border,540756,"23.375621588248, 38.179444556306",,,,,,,,
10773550,🌍 the Leap of Glaucos (Boiotia) at the sea near Anthedon,coastal cliff / leap point,1,at the sea near Anthedon,Place,,23.451655,38.497693,,,,,9651961,🌍 Anthedon (Boiotia) harbor in Boiotia,540639,"23.451655, 38.497693",,,,
10473246,🏛️ Spring Byblis (Phoinicia),spring,2,,Landmark,,35.646289,34.1192635,8253949,🌍 Byblos (Phoinicia) city in Phoinicia,668216,"35.646289, 34.1192635",,,,,,,,
9611972,"🌍 the Land of the Dryopes region in central Greece, centred on Mount Oita or Mount Parnassos, from which the Dryopes are expelled by Heracles",region,15,"region in central Greece, centred on Mount Oita or Mount Parnassos, from which the Dryopes are expelled by Heracles",Place,,22.8395385,38.5380277,,,,,8195200,🌍 Phocis region on the Greek mainland,541048,"22.8395385, 38.5380277",,,,
10272595,"🏛️ the Almond Tree (Phrygia) born of Agdistis, father of Attis",tree,2,"born of Agdistis, father of Attis",Landmark,,30.59285065,40.99129035,,,,,9611997,🌍 River Sangarios (Phrygia) river in Phrygia,511406,"30.59285065, 40.99129035",,,,
11066632,🌍 the North Sea sea to the north of Britain and Scandinavia,sea,1,sea to the north of Britain and Scandinavia,Place,20469,3,56,,,,,,,,,,,,
11259237,"🌍 Seres (China?) land to the far east, associated with fine silk",region,1,"land to the far east, associated with fine silk",Place,,,,,,,,,,,,,,,
9651958,🌍 Arne (Boiotia) unlocatable city in Boiotia,city,8,unlocatable city in Boiotia,Place,,23.188078743333,38.345194763333,,,,,8195196,🌍 Boiotia region on the Greek mainland,540689,"23.188078743333, 38.345194763333",,,,
9615085,🏛️ the Cave of the Nemean Lion (Argolid) landmark in the Argolid,cave,7,landmark in the Argolid,Landmark,,22.73333,37.86667,,,,,9878375,🌍 Mount Apesantos (Argolid) mountain in the Argolid,570090,"22.73333, 37.86667",,,,
9358834,"🌍 Scheria (unlocatable island) island of the Phaiacians, visited by Odysseus",island,79,"island of the Phaiacians, visited by Odysseus",Place,,,,,,,,,,,,,,,
10276470,🌍 Arne (Thessaly) unlocatable city in Thessaly,city,5,unlocatable city in Thessaly,Place,,22.93328,38.48288,,,,,9055627,🌍 Thessaly region in northern Greece,1332,"22.2, 39.6",,,,
10214638,🌍 the Sanctuary of the Cabeiroi at Thebes,sanctuary,7,,Place,540844,23.2587315,38.321966,8253960,🌍 Thebes (Boiotia) city in Boiotia,541138,"23.317577, 38.319156",,,,,,,,
10267116,🏛️ the Blood Altar at Didyma built by Heracles,altar,2,built by Heracles,Landmark,,27.256115000000005,37.384829,11295707,🌍 the Sanctuary of Apollo and Artemis at Didyma (Asia Minor),599593,"27.256115000000005, 37.384829",,,,,,,,
8254012,"🌍 River Eridanos (unlocatable) mythical river of the Celts or Ligurians, sometimes identified with the River Po in north-east Italy",river,40,"mythical river of the Celts or Ligurians, sometimes identified with the River Po in north-east Italy",Place,,,,,,,,,,,,,,,
10217933,🌍 the Sanctuary of Zeus at Olympia,sanctuary,10,,Place,,21.630874780357,37.638689420584,9605463,🌍 Olympia (Elis) home of the Olympic Games,570531,"21.630874780357, 37.638689420584",,,,,,,,
10158912,🌍 Mount Coryphos (Argolid) mountain in the Argolid,mountain,3,mountain in the Argolid,Place,570376,23.25,37.75,,,,,,,,,,,,
10108274,🌍 Actaia (alt. Attica) alternative name for Attica,region,5,alternative name for Attica,Place,,23.9937505,37.926189,,,,,,,,,,8253963,🌍 Attica region of the Greek mainland,579888,"23.9937505, 37.926189"
10185131,"🏛️ the Wrestling School of Cercyon location in Attica, identified by Pausanias between Megara and Eleusis",wrestling school,4,"location in Attica, identified by Pausanias between Megara and Eleusis",Landmark,,23.537401,38.041101,,,,,8188814,🌍 Eleusis (Attica) city in Attica,579920,"23.537401, 38.041101",,,,
9821353,"🏛️ the Colossos of Memnon (Egypt) stone statue of the Pharaoh Amenhotep III in the Necropolis of Egyptian Thebes, constructed ca 1350 BCE and identified in later periods with the hero Memnon",colossus statue,-,"stone statue of the Pharaoh Amenhotep III in the Necropolis of Egyptian Thebes, constructed ca 1350 BCE and identified in later periods with the hero Memnon",Landmark,,32.616486,25.634784999999997,9821352,🌍 Thebes (Egypt) city in Egypt,786017,"32.616486, 25.634784999999997",,,,,,,,
11295707,🌍 the Sanctuary of Apollo and Artemis at Didyma (Asia Minor),sanctuary,9,,Place,599593,27.256115000000005,37.384829,,,,,,,,,,,,
10214901,🌍 Calaureia (island) island off Troizen in the Argolid,island,5,island off Troizen in the Argolid,Place,570325,23.483333,37.516667,,,,,,,,,,,,
10160373,🏛️ the Tomb of Phytalos (Laciadai),tomb,1,,Landmark,,23.699604,37.993384,10160355,🌍 Laciadai (Attica) deme in Attica,580006,"23.699604, 37.993384",,,,,,,,
11321930,🏛️ the Temple of Argive Hera (Argolid) built by Eupolemos in the late fifth-century BCE,temple,3,built by Eupolemos in the late fifth-century BCE,Landmark,,22.77551225,37.6925313,10159442,🌍 the Sanctuary of Argive Hera near Mycenae (Argolid) major sanctuary of the Argolid,570289,"22.77551225, 37.6925313",,,,,,,,
10159442,🌍 the Sanctuary of Argive Hera near Mycenae (Argolid) major sanctuary of the Argolid,sanctuary,15,major sanctuary of the Argolid,Place,570289,22.77551225,37.6925313,,,,,,,,,,,,
