title,uri,type,representative_latitude,representative_longitude,location_precision,
Monte Tamburino necropolis,https://pleiades.stoa.org/places/999917206,cemetery,44.2723222,11.3758803,precise,
Sep. Scipionum,https://pleiades.stoa.org/places/999196280,tomb,41.87589679233390,12.500409194661000,precise,
Møllegårdsmarken,https://pleiades.stoa.org/places/99010,cemetery,55.131998,10.701462,precise,
Marwedel,https://pleiades.stoa.org/places/99007,cemetery,53.143956,11.038789,precise,
Varpelev,https://pleiades.stoa.org/places/99056,cemetery,55.355891,12.279503,precise,
Westerwanna,https://pleiades.stoa.org/places/99063,cemetery,53.741714,8.779361,precise,
Putensen,https://pleiades.stoa.org/places/99022,cemetery,53.196324,10.196003,precise,
Nordrup,https://pleiades.stoa.org/places/99015,cemetery,55.480869,11.419377,precise,
Valløby,https://pleiades.stoa.org/places/99054,tomb,55.4002608,12.2321792,precise,
Süderbrarup,https://pleiades.stoa.org/places/99039,cemetery,54.636251,9.779741,precise,
Wiebendorf,https://pleiades.stoa.org/places/99064,cemetery,53.403543,10.821529,precise,
Neu Darchau,https://pleiades.stoa.org/places/99013,cemetery,53.228739,10.885075,precise,
Funerary Chamber of Manlia Felicitas,https://pleiades.stoa.org/places/990721366,tomb,41.853944,12.517797,precise,
Eanna,https://pleiades.stoa.org/places/996877399,temple-2,31.3243321,45.6402127,precise,
Qasr el-Sagha temple,https://pleiades.stoa.org/places/996473997,temple-2,29.5950711,30.6778876,precise,
Temple of Kalabsha,https://pleiades.stoa.org/places/996473998,temple-2,23.9608438,32.8676847,precise,
Stary Sad,https://pleiades.stoa.org/places/99643110,cemetery,55.641119,76.716107,precise,
Necropolis of Montessu,https://pleiades.stoa.org/places/991190962,cemetery,39.13324863544200,8.667492147842240,precise,
Temple d'Appolon,https://pleiades.stoa.org/places/998499870,temple-2,44.077943,4.5595476,precise,
Catacombs of Commodilla,https://pleiades.stoa.org/places/99836453,cemetery,41.861044968612500,12.483049522512200,precise,
Punta della Vipera Etruscan temple,https://pleiades.stoa.org/places/99313926,sanctuary,42.0463351,11.8256075,precise,
Arteda Civitate,https://pleiades.stoa.org/places/992779753,church-2,42.598873,-0.994237,precise,
Phaleron cemetery (Attica),https://pleiades.stoa.org/places/992770797,cemetery,37.93987062145430,23.69402266702620,precise,
Simi,https://pleiades.stoa.org/places/995604668,sanctuary,35.0559606,25.4998661,precise,
Kástron Khóstion,https://pleiades.stoa.org/places/995667313,sanctuary,38.254150500000000,22.88301,precise,
"Tholos at the Sanctuary of Asklepios, Epidauros",https://pleiades.stoa.org/places/995644788,sanctuary,37.59841317509730,23.074049189295700,precise,
"Mycenaean necropolis, Elateia",https://pleiades.stoa.org/places/909179853,cemetery,38.64748856073160,22.77217197277600,precise,
Guldara Stupa,https://pleiades.stoa.org/places/909832408,abbey,34.39271698407000,69.27855053383150,precise,
Monterozzi necropolis,https://pleiades.stoa.org/places/909329995,cemetery,42.249713563741400,11.770144990194400,precise,
Cattedrale di Santa Maria di Amiternum,https://pleiades.stoa.org/places/900977729,church-2,42.399285850000000,13.30789875,precise,
Tomb of the Stronnii,https://pleiades.stoa.org/places/90074311,tomb,40.74881827613130,14.492903864113200,precise,
"Tomb of Lucius Publicius Syneros, Aebia Fausta, Lucius Aebius Aristo and Aebia Hilara",https://pleiades.stoa.org/places/90074312,tomb,40.74945192523400,14.494390039315000,precise,
Quattro tempietti,https://pleiades.stoa.org/places/900824128,sanctuary,41.755666508704300,12.290578100244200,precise,
Santa Cecilia in Trastevere,https://pleiades.stoa.org/places/906299919,church-2,41.887566789361000,12.475843443155700,precise,
Tophet de Salammbô,https://pleiades.stoa.org/places/908696791,cemetery,36.8409911,10.3230409,precise,
Bliznet͡sy,https://pleiades.stoa.org/places/908270988,tumulus,48.389238500000000,35.056214,precise,
Pantano di Grano necropolis,https://pleiades.stoa.org/places/904754819,cemetery,42.021338,12.390519,rough,
Necropolis of Sant'Andrea Priu,https://pleiades.stoa.org/places/90397392,cemetery,40.4214926,8.8473733,precise,
Dukkan-i Daud,https://pleiades.stoa.org/places/903019,cemetery,34.440174,45.897579,precise,
Pusht-i Arisht,https://pleiades.stoa.org/places/903097,temple,33.291443,46.952321,precise,
Gilan Gharbi,https://pleiades.stoa.org/places/903034,temple,34.139759,45.917704,precise,
Navish,https://pleiades.stoa.org/places/903087,temple,34.673036,50.261057,precise,
Lang-i Rud,https://pleiades.stoa.org/places/903072,temple,34.52229,51.000769,precise,
Khurramdasht,https://pleiades.stoa.org/places/903065,temple,33.867479,51.592609,precise,
Natanz,https://pleiades.stoa.org/places/903086,temple,33.506944,51.913611,precise,
Naisar,https://pleiades.stoa.org/places/903085,temple,33.967929,51.099442,precise,
Changiyeh,https://pleiades.stoa.org/places/903007,temple,33.5586,46.499199,precise,
Deh-i No/Sakavand,https://pleiades.stoa.org/places/903011,cemetery,34.234855,47.446675,precise,
Kushk Khainfar,https://pleiades.stoa.org/places/903070,temple,33.189073,46.515468,precise,
Maimeh,https://pleiades.stoa.org/places/903076,temple,33.175424,46.945497,precise,
Otaq-i Farhad/Surkhadeh,https://pleiades.stoa.org/places/903094,cemetery,34.262154,47.433026,precise,
War Pil,https://pleiades.stoa.org/places/903143,temple,33.388125,46.570065,precise,
Ravansar,https://pleiades.stoa.org/places/903105,cemetery,34.716667,46.666667,precise,
Seh Pa Aivan,https://pleiades.stoa.org/places/903112,temple,33.89258,46.033117,precise,
Sahneh,https://pleiades.stoa.org/places/903108,cemetery,34.489927,47.705159,precise,
Temple of Horus at Edfu,https://pleiades.stoa.org/places/903328167,temple-2,24.977931541818800,32.87347799137270,precise,
Kordin Temples,https://pleiades.stoa.org/places/903510061,temple-2,35.87710501705800,14.508950958020100,rough,
Tanella Angori,https://pleiades.stoa.org/places/902458924,tomb,43.2731321,11.9793152,precise,
Sphinx Temple,https://pleiades.stoa.org/places/979282841,temple-2,29.975210654019700,31.138209495474300,precise,
The Giza Necropolis,https://pleiades.stoa.org/places/979282842,cemetery,29.973088495034900,31.129747556701800,precise,
Qubbet el-Hawa,https://pleiades.stoa.org/places/979588215,tomb,24.10248956189500,32.88913689131200,precise,
Yedikilise,https://pleiades.stoa.org/places/970074272,monastery,38.44951513785600,43.46128468973220,precise,
Crypt and church of San Lussorio,https://pleiades.stoa.org/places/970563462,church-2,39.989764,8.7979716,precise,
Pyramids of Meroe,https://pleiades.stoa.org/places/97711900,tomb,16.938553810205800,33.74934687169990,precise,
Temple of Artemis Azzanathkona Phase 2,https://pleiades.stoa.org/places/977420436,temple-2,34.750963934416300,40.72718771854820,precise,
Khisht tepe,https://pleiades.stoa.org/places/971796,tumulus,36.183333,69.316667,precise,
Takht-i Rustam,https://pleiades.stoa.org/places/971881,sanctuary,36.300494,68.071046,precise,
Gallarus Oratory,https://pleiades.stoa.org/places/978176715,church,52.1726854,-10.3492274,precise,
 Ėl'khotovskiĭ nekropolʹ,https://pleiades.stoa.org/places/974747818,cemetery,43.311397,44.234774,precise,
S'Altare de Logula,https://pleiades.stoa.org/places/974428346,tomb,40.2373808,8.8585545,precise,
Basilica of St. Titus,https://pleiades.stoa.org/places/973706432,church-2,35.0624875,24.946633,precise,
"Second Temple, Jerusalem",https://pleiades.stoa.org/places/973646718,temple-2,31.7782502,35.2353407,precise,
Cavalupo Necropolis (Vulci),https://pleiades.stoa.org/places/973296890,cemetery,42.4205467,11.641289700000000,precise,
el-Amrah,https://pleiades.stoa.org/places/972371932,cemetery,26.143117,31.968447,precise,
Tomb of Aulus Umbricius Scaurus,https://pleiades.stoa.org/places/972528602,tomb,40.752175343066100,14.479710063642800,precise,
Potto Codinu,https://pleiades.stoa.org/places/975572958,cemetery,40.4867655,8.5187805,precise,
"Cathedral of St. James, Jerusalem",https://pleiades.stoa.org/places/969121824,church-2,31.774526800079200,35.22914405561010,precise,
Madrasa Gumushtakin,https://pleiades.stoa.org/places/969543392,mosque,32.5216405,36.4805317,precise,
Circus Maximus Mithraeum,https://pleiades.stoa.org/places/960323262,temple-2,41.888114,12.482856,precise,
Largo di Torre Argentina,https://pleiades.stoa.org/places/967215409,sanctuary,41.8951723,12.4772404,precise,
Ekklesiasterion of Morgantina,https://pleiades.stoa.org/places/966917974,ekklesiasterion,37.43062668754260,14.479480653210500,precise,
Sar-i Pul,https://pleiades.stoa.org/places/961961,temple,36.225626,65.927298,precise,
Ghulbiyan,https://pleiades.stoa.org/places/961910,temple,35.728575,65.389205,precise,
Tilla tepe,https://pleiades.stoa.org/places/961968,cemetery,36.667217,65.742756,precise,
Doric Temple at Kardaki,https://pleiades.stoa.org/places/96199445,sanctuary,39.601386777843200,19.92610610116170,precise,
Bayram Ali,https://pleiades.stoa.org/places/961889,cemetery,37.616662,62.150007,precise,
Grimde,https://pleiades.stoa.org/places/968039984,tumulus,50.7995153,4.9583639,precise,
Hottomont tumulus,https://pleiades.stoa.org/places/968039985,tumulus,50.6230666,4.8905074,precise,
Bayon at Angkor Thom,https://pleiades.stoa.org/places/96853716,temple-2,13.441222854899800,103.85891557744900,precise,
Ramesseum,https://pleiades.stoa.org/places/963047542,temple-2,25.72779980402700,32.61023137926130,precise,
Cemetery of the Garamantes,https://pleiades.stoa.org/places/963101091,cemetery,26.517878,13.331077,precise,
Cemetery of the Garamantes,https://pleiades.stoa.org/places/963101087,cemetery,26.623203,13.613713,precise,
Unnamed place,https://pleiades.stoa.org/places/963101009,temple,31.146289,16.749739,precise,
Cemetery of the Garamantes,https://pleiades.stoa.org/places/963101086,cemetery,26.717964,13.884373,precise,
Cemetery of the Garamantes,https://pleiades.stoa.org/places/963101090,cemetery,26.600906,13.147233,precise,
Cemetery of the Garamantes,https://pleiades.stoa.org/places/963101085,cemetery,26.708264,13.85154,precise,
Cemetery of the Garamantes,https://pleiades.stoa.org/places/963101093,cemetery,26.629329,13.03516,precise,
Cemetery of the Garamantes,https://pleiades.stoa.org/places/963101089,cemetery,26.53369,13.381442,precise,
Cemetery of the Garamantes,https://pleiades.stoa.org/places/963101088,cemetery,26.682849,13.798344,precise,
Cemetery of the Garamantes,https://pleiades.stoa.org/places/963101092,cemetery,26.547669,13.242041,precise,
Cemetery of the Garamantes,https://pleiades.stoa.org/places/963101084,cemetery,26.016997,13.350545,precise,
Unnamed Place,https://pleiades.stoa.org/places/963101382,temple,32.477054,14.461641,precise,
Unnamed Place,https://pleiades.stoa.org/places/963101381,cemetery,32.513464,14.433939,precise,
Doric temple of Segesta,https://pleiades.stoa.org/places/963441586,temple-2,37.94147,12.832405,precise,
Sanctuary of Aglauros,https://pleiades.stoa.org/places/965050506,shrine,37.97139,23.72877,precise,
Varaha Cave,https://pleiades.stoa.org/places/965370150,shrine,12.6180857,80.1922234,precise,
Timpone della Motta,https://pleiades.stoa.org/places/919620902,sanctuary,39.8077845,16.3684571,precise,
Castel Sant'Angelo,https://pleiades.stoa.org/places/919243561,tomb,41.90317467347100,12.46644436165050,precise,
Templum Flora,https://pleiades.stoa.org/places/910953111,temple-2,,,rough,
Tigani basilica,https://pleiades.stoa.org/places/910479808,church-2,36.545650938107100,22.36621429557120,precise,
